startup_round_id,startup_id,participant_id,participant_type,round_record_date,traction
10882,171440,24,User,2013-8-14 14:03:57,1e+09
10882,171440,25,User,2013-8-14 14:03:57,1e+09
10882,171440,30,User,2013-12-18 12:26:06,1e+09
10882,171440,49,User,2013-7-02 11:25:53,1e+09
10883,171440,9,User,2012-4-04 23:09:19,420000
10883,171440,18,User,2012-4-04 23:09:19,420000
10883,171440,34,User,2012-4-04 23:09:19,420000
10883,171440,31,User,2012-4-04 23:09:19,420000
10883,171440,46,User,2012-4-04 23:09:19,420000
10883,171440,77,User,2012-4-04 23:09:19,420000
10883,171440,1,User,2012-4-04 23:09:19,420000
10883,171440,14,User,2012-4-04 23:09:19,420000
10883,171440,52,User,2012-11-06 15:15:03,420000
10884,167912,87558,Startup,2013-4-04 23:09:19,11500
10884,167912,78114,Startup,2013-4-04 23:09:19,11500
10884,167912,29,User,2013-4-04 23:09:20,11500
10885,145988,172221,Startup,2012-4-04 23:09:20,51018
10885,145988,31,User,2012-4-04 23:09:20,51018
10885,145988,67,User,2012-4-04 23:09:20,51018
10885,145988,12,User,2012-4-04 23:09:20,51018
10885,145988,52,User,2012-4-04 23:09:20,51018
10885,145988,74,User,2012-4-04 23:09:20,51018
10885,145988,92189,Startup,2012-4-04 23:09:20,51018
10886,145988,3003,Startup,2013-4-04 23:09:20,
10886,145988,164758,Startup,2013-4-04 23:09:20,
10886,145988,171666,Startup,2013-4-04 23:09:20,
10886,145988,88077,Startup,2013-4-04 23:09:20,
10886,145988,5,User,2013-4-04 23:09:20,
10886,145988,173115,Startup,2013-4-04 23:09:20,
10886,145988,70,User,2013-4-04 23:09:20,
10886,145988,17,User,2013-4-04 23:09:21,
10886,145988,5,User,2013-4-04 23:09:21,
10886,145988,88077,Startup,2013-4-04 23:09:21,
10886,145988,25,User,2013-4-04 23:09:21,
10886,145988,85725,Startup,2013-6-26 14:19:27,
10887,173789,172110,Startup,2012-4-04 23:09:22,0
10890,90284,174126,Startup,2013-6-19 22:38:46,0
10891,90284,173878,Startup,2012-4-04 23:09:23,
10891,90284,70683,Startup,2012-4-04 23:09:23,
10891,90284,105348,Startup,2012-4-04 23:09:23,
10891,90284,23703,Startup,2012-4-04 23:09:23,
10891,90284,68,User,2012-4-04 23:09:23,
10891,90284,65,User,2012-4-04 23:09:23,
10891,90284,174215,Startup,2012-7-26 01:09:50,
10892,164758,173160,Startup,2013-4-04 23:09:24,6e+07
10892,164758,171666,Startup,2013-4-04 23:09:24,6e+07
10892,164758,162729,Startup,2013-4-04 23:09:24,6e+07
10892,164758,35,User,2013-4-04 23:09:24,6e+07
10892,164758,71,User,2013-4-04 23:09:24,6e+07
10892,164758,46,User,2013-4-04 23:09:24,6e+07
10892,164758,173881,Startup,2013-4-04 23:09:24,6e+07
10892,164758,43,User,2013-4-04 23:09:24,6e+07
10892,164758,53,User,2013-4-04 23:09:24,6e+07
10893,164758,149749,Startup,2012-4-04 23:09:24,30000
10894,75930,168502,Startup,2013-4-04 23:09:25,21094
10894,75930,4061,Startup,2013-4-04 23:09:25,21094
10894,75930,121027,Startup,2013-4-04 23:09:25,21094
10894,75930,171992,Startup,2013-4-04 23:09:25,21094
10894,75930,91074,Startup,2013-4-04 23:09:25,21094
10894,75930,166233,Startup,2013-4-05 18:01:54,21094
10896,173881,153301,Startup,2013-4-04 23:09:26,44000
10897,173881,168176,Startup,2012-4-04 23:09:27,2500000
10897,173881,105348,Startup,2012-4-04 23:09:27,2500000
10897,173881,59,User,2012-4-04 23:09:27,2500000
10897,173881,9,User,2012-4-04 23:09:27,2500000
10897,173881,31,User,2012-4-04 23:09:27,2500000
10897,173881,20,User,2012-4-04 23:09:28,2500000
10897,173881,2,User,2013-1-15 01:12:06,44000
10899,173878,77503,Startup,2012-4-04 23:09:28,1800000
10899,173878,15,User,2012-4-04 23:09:28,1800000
10899,173878,14,User,2012-4-04 23:09:28,1800000
10899,173878,40,User,2012-4-04 23:09:29,1800000
10900,173878,86972,Startup,2013-4-04 23:09:29,1e+06
10900,173878,58,User,2013-4-04 23:09:29,1e+06
10903,147831,86972,Startup,2012-4-04 23:09:29,
10903,147831,66,User,2012-4-04 23:09:29,
10903,147831,23,User,2012-4-04 23:09:29,
10903,147831,32,User,2012-4-04 23:09:29,
10903,147831,67,User,2012-4-04 23:09:29,
10903,147831,22,User,2012-4-04 23:09:29,
10903,147831,100211,Startup,2012-4-04 23:09:29,
10903,147831,10,User,2012-4-04 23:09:29,
10903,147831,67,User,2012-4-04 23:09:30,
10903,147831,69242,Startup,2012-9-11 14:10:57,
10904,147831,10809,Startup,2013-4-04 23:09:30,2e+06
10907,69242,88048,Startup,2012-4-04 23:09:31,573000
10907,69242,172714,Startup,2012-4-04 23:09:31,573000
10907,69242,28,User,2012-4-04 23:09:31,573000
10907,69242,56,User,2012-4-04 23:09:31,573000
10907,69242,16,User,2012-4-04 23:09:31,573000
10907,69242,14,User,2012-4-04 23:09:31,573000
10907,69242,14,User,2012-4-04 23:09:31,573000
10907,69242,19,User,2012-4-04 23:09:31,573000
